epoch,MSE
0,1.6960110664367676
1,1.4175732135772705
2,1.195626974105835
3,1.015010952949524
4,0.8660817742347717
5,0.7421965003013611
6,0.6385166645050049
7,0.5513738989830017
8,0.4779037535190582
9,0.41582152247428894
10,0.3632766604423523
11,0.31875357031822205
12,0.28100186586380005
13,0.24898403882980347
14,0.22183546423912048
15,0.19883252680301666
16,0.17936676740646362
17,0.16292355954647064
18,0.14906476438045502
19,0.1374141275882721
20,0.1276460587978363
21,0.11947635561227798
22,0.11265535652637482
23,0.10696285218000412
24,0.10220428556203842
25,0.09820818156003952
26,0.09482414275407791
27,0.0919213742017746
28,0.08938754349946976
29,0.08712742477655411
30,0.08506175130605698
31,0.0831257626414299
32,0.0812678337097168
33,0.07944772392511368
34,0.07763504981994629
35,0.07580768316984177
36,0.07395018637180328
37,0.07205245643854141
38,0.0701085552573204
39,0.0681157037615776
40,0.06607349216938019
41,0.06398329138755798
42,0.06184787675738335
43,0.05967110022902489
44,0.05745777487754822
45,0.05521348863840103
46,0.05294458568096161
47,0.050658103078603745
48,0.048361681401729584
49,0.04606357589364052
50,0.04377250745892525
51,0.041497621685266495
52,0.039248332381248474
53,0.037034209817647934
54,0.03486482799053192
55,0.03274958208203316
56,0.03069755621254444
57,0.02871730737388134
58,0.02681669220328331
59,0.025002699345350266
60,0.023281319066882133
61,0.02165742963552475
62,0.020134616643190384
63,0.01871517114341259
64,0.017400052398443222
65,0.01618887670338154
66,0.015079961158335209
67,0.01407040935009718
68,0.013156235218048096
69,0.012332463636994362
70,0.011593339033424854
71,0.010932517237961292
72,0.010343742556869984
73,0.009828894399106503
74,0.009538402780890465
75,0.009534374255686998
76,0.009528894399106503
77,0.009338402780890465
78,0.009143742556869984
79,0.008928894399106503
80,0.008738402780890465
81,0.00855062622576952
82,0.008080754429101944
83,0.007791195996105671
84,0.0075972117483615875
85,0.007466381881386042
86,0.007413152605295181
87,0.007453129161149263
88,0.007466381881386042
89,0.007413152605295181
90,0.007453129161149263
91,0.007466381881386042
92,0.007413152605295181
93,0.007453129161149263
94,0.007466381881386042
95,0.007413152605295181
96,0.007453129161149263
97,0.007466381881386042
98,0.007413152605295181
99,0.007453129161149263
