epoch,GradientDescentOptimizer
1,238613000
2,2857000
3,2109000
4,2239000
5,2188000
6,2172000
7,2224000
8,2901000
9,2833000
10,2593000
11,2465000
12,2402000
13,2584000
14,2399000
15,2451000
16,2468000
17,2283000
18,2164000
19,1916000
20,1896000
21,1996000
22,1946000
23,1928000
24,1978000
25,2094000
26,1945000
27,2007000
28,1950000
29,1810000
30,1930000
31,1894000
32,1936000
33,1888000
34,1884000
35,1995000
36,1886000
37,1843000
38,1877000
39,1856000
40,2163000
41,1884000
42,1825000
43,1980000
44,1967000
45,1940000
46,1959000
47,1926000
48,1883000
49,1895000
50,2183000
51,2051000
52,1919000
53,1958000
54,1894000
55,1888000
56,1940000
57,1958000
58,1897000
59,1949000
60,1845000
61,1828000
62,1789000
63,1658000
64,1781000
65,1673000
66,1700000
67,1730000
68,1787000
69,1746000
70,1777000
71,1638000
72,1693000
73,1666000
74,1565000
75,1768000
76,1782000
77,1730000
78,1617000
79,1760000
80,1810000
81,1678000
82,1634000
83,1688000
84,1662000
85,1671000
86,1678000
87,1615000
88,1759000
89,1713000
90,1721000
91,1895000
92,2280000
93,1870000
94,2086000
95,2021000
96,1933000
97,1913000
98,1863000
99,1989000
100,1782000
