Objective Function,k
2900129.5,1.0
2714538.2721285885,2.0
2582962.6199884857,3.0
2482478.430274709,4.0
2390207.408785404,5.0
2323651.785631739,6.0
2274426.85884915,7.0
2230960.1386165917,8.0
2197693.4557238026,9.0
2158117.0370197515,10.0
2126268.241001478,11.0
2100802.951183519,12.0
2071836.2221094137,13.0
2047098.687956188,14.0
2024315.4456025194,15.0
2005761.2723401238,16.0
1988014.8378284418,17.0
1969467.8167543802,18.0
1952018.736489185,19.0
1940262.415607335,20.0
1920623.4189805693,21.0
1907136.7015775512,22.0
1898270.518342036,23.0
1883041.3329582526,24.0
1868341.246982523,25.0
1858783.5118348617,26.0
1849263.658118261,27.0
1839139.4213229585,28.0
1830456.606531212,29.0
1824911.5964952419,30.0
1812945.8707035123,31.0
1805057.1453016647,32.0
1797852.8696034509,33.0
1790644.2947776024,34.0
1782747.1595446954,35.0
1774641.4829770655,36.0
1767338.3476982042,37.0
1758855.3657381353,38.0
1752608.4346751773,39.0
1747002.757538294,40.0
1742299.9094759237,41.0
1735165.6812511552,42.0
1727908.3148382201,43.0
1721992.0017542888,44.0
1716789.2967855171,45.0
1712400.9198772616,46.0
1708729.4349833091,47.0
1703287.0245888138,48.0
1696668.0518876174,49.0
1696344.8375983997,50.0
1689998.5249344697,51.0
1687721.7756285449,52.0
1679661.827544066,53.0
1675916.7479058614,54.0
1674406.834242473,55.0
1669792.080874693,56.0
1664065.0217550856,57.0
1661644.2151363192,58.0
1656952.70851141,59.0
1652250.2514291832,60.0
1647621.9847374784,61.0
1644277.3206037562,62.0
1640938.8720272875,63.0
1640882.0552871919,64.0
1633407.7069850166,65.0
1629750.7332507428,66.0
1626435.8940497774,67.0
1626837.5872594493,68.0
1619855.1482782501,69.0
1615795.6944998596,70.0
1616036.4628361415,71.0
1612174.0969760227,72.0
1609751.3322280967,73.0
1606085.508047756,74.0
1602414.2019789745,75.0
1599424.1679557425,76.0
1596815.3055780148,77.0
1596131.5090907265,78.0
1592182.2251305406,79.0
1587661.8372917753,80.0
1585101.961713516,81.0
1583481.8690017783,82.0
1579238.4908078166,83.0
1578087.871200924,84.0
1573322.2104216435,85.0
1572858.5233640075,86.0
1571469.4583329274,87.0
1567987.0077460532,88.0
1567323.081027323,89.0
1563649.7282080145,90.0
1560902.5808859572,91.0
1558411.9892829568,92.0
1555881.848774417,93.0
1554639.9037322602,94.0
1551532.7501052818,95.0
1548562.8566596883,96.0
1545826.0216437047,97.0
1545847.1947369503,98.0
1543618.1396245074,99.0
1543145.8388333975,100.0
